mode,type,key,latency_ms,status,stale,version,rw_interval_ms
leaderless,read,key3,101.00,404,false,0,-1.00
leaderless,read,key87,104.00,404,false,0,-1.00
leaderless,read,key38,105.00,404,false,0,-1.00
leaderless,read,key3,109.00,404,false,0,-1.00
leaderless,read,key87,113.00,404,false,0,-1.00
leaderless,read,key3,116.00,404,false,0,-1.00
leaderless,read,key87,119.00,404,false,0,-1.00
leaderless,read,key3,121.00,404,false,0,-1.00
leaderless,read,key3,128.00,404,false,0,-1.00
leaderless,read,key3,128.00,404,false,0,-1.00
leaderless,read,key85,57.00,404,false,0,-1.00
leaderless,read,key53,57.00,404,false,0,-1.00
leaderless,read,key28,57.00,404,false,0,-1.00
leaderless,read,key85,56.00,404,false,0,-1.00
leaderless,read,key53,55.00,404,false,0,-1.00
leaderless,read,key85,57.00,404,false,0,-1.00
leaderless,read,key53,54.00,404,false,0,-1.00
leaderless,read,key85,57.00,404,false,0,-1.00
leaderless,read,key85,54.00,404,false,0,-1.00
leaderless,read,key85,56.00,404,false,0,-1.00
leaderless,read,key41,56.00,404,false,0,-1.00
leaderless,read,key80,57.00,404,false,0,-1.00
leaderless,read,key55,60.00,404,false,0,-1.00
leaderless,read,key41,59.00,404,false,0,-1.00
leaderless,read,key41,56.00,404,false,0,-1.00
leaderless,read,key80,60.00,404,false,0,-1.00
leaderless,read,key80,57.00,404,false,0,-1.00
leaderless,read,key41,57.00,404,false,0,-1.00
leaderless,read,key41,54.00,404,false,0,-1.00
leaderless,read,key41,55.00,404,false,0,-1.00
leaderless,read,key0,56.00,404,false,0,-1.00
leaderless,read,key45,57.00,404,false,0,-1.00
leaderless,read,key0,55.00,404,false,0,-1.00
leaderless,read,key70,59.00,404,false,0,-1.00
leaderless,read,key45,57.00,404,false,0,-1.00
leaderless,read,key0,59.00,404,false,0,-1.00
leaderless,read,key45,62.00,404,false,0,-1.00
leaderless,read,key0,58.00,404,false,0,-1.00
leaderless,read,key0,57.00,404,false,0,-1.00
leaderless,read,key0,58.00,404,false,0,-1.00
leaderless,read,key88,55.00,404,false,0,-1.00
leaderless,read,key69,54.00,404,false,0,-1.00
leaderless,read,key88,57.00,404,false,0,-1.00
leaderless,read,key93,57.00,404,false,0,-1.00
leaderless,read,key69,56.00,404,false,0,-1.00
leaderless,read,key88,55.00,404,false,0,-1.00
leaderless,read,key69,55.00,404,false,0,-1.00
leaderless,read,key88,55.00,404,false,0,-1.00
leaderless,read,key88,58.00,404,false,0,-1.00
leaderless,read,key88,57.00,404,false,0,-1.00
leaderless,read,key71,58.00,404,false,0,-1.00
leaderless,read,key68,60.00,404,false,0,-1.00
leaderless,read,key71,55.00,404,false,0,-1.00
leaderless,read,key86,59.00,404,false,0,-1.00
leaderless,read,key68,58.00,404,false,0,-1.00
leaderless,read,key71,64.00,404,false,0,-1.00
leaderless,read,key68,59.00,404,false,0,-1.00
leaderless,read,key71,59.00,404,false,0,-1.00
leaderless,read,key71,60.00,404,false,0,-1.00
leaderless,read,key71,60.00,404,false,0,-1.00
leaderless,read,key20,53.00,404,false,0,-1.00
leaderless,read,key83,54.00,404,false,0,-1.00
leaderless,read,key20,52.00,404,false,0,-1.00
leaderless,read,key37,54.00,404,false,0,-1.00
leaderless,read,key83,52.00,404,false,0,-1.00
