mode,type,key,latency_ms,status,stale,version,rw_interval_ms
w3r3,read,key99,101.00,200,false,624,-1.00
w3r3,read,key99,119.00,200,false,624,-1.00
w3r3,read,key99,119.00,200,false,624,-1.00
w3r3,read,key99,120.00,200,false,624,-1.00
w3r3,read,key99,119.00,200,false,624,-1.00
w3r3,read,key99,121.00,200,false,624,-1.00
w3r3,read,key99,120.00,200,false,624,-1.00
w3r3,read,key99,121.00,200,false,624,-1.00
w3r3,read,key31,58.00,200,false,104,-1.00
w3r3,read,key31,59.00,200,false,104,-1.00
w3r3,read,key31,63.00,200,false,104,-1.00
w3r3,read,key31,64.00,200,false,104,-1.00
w3r3,read,key31,60.00,200,false,104,-1.00
w3r3,read,key31,61.00,200,false,104,-1.00
w3r3,read,key31,64.00,200,false,104,-1.00
w3r3,read,key31,66.00,200,false,104,-1.00
w3r3,write,key83,340.00,201,false,685,0.00
w3r3,write,key83,363.00,201,false,686,0.00
w3r3,write,key95,300.00,201,false,687,0.00
w3r3,write,key95,309.00,201,false,688,0.00
w3r3,write,key95,317.00,201,false,690,0.00
w3r3,write,key95,315.00,201,false,689,0.00
w3r3,write,key95,314.00,201,false,692,0.00
w3r3,write,key95,327.00,201,false,694,0.00
w3r3,write,key95,327.00,201,false,693,0.00
w3r3,write,key95,322.00,201,false,691,0.00
w3r3,read,key7,55.00,200,false,38,-1.00
w3r3,read,key7,61.00,200,false,38,-1.00
w3r3,read,key7,61.00,200,false,38,-1.00
w3r3,read,key7,61.00,200,false,38,-1.00
w3r3,read,key7,72.00,200,false,38,-1.00
w3r3,read,key7,56.00,200,false,38,-1.00
w3r3,read,key7,61.00,200,false,38,-1.00
w3r3,read,key7,64.00,200,false,38,-1.00
w3r3,write,key10,295.00,201,false,695,0.00
w3r3,write,key10,295.00,201,false,696,0.00
w3r3,write,key28,300.00,201,false,697,0.00
w3r3,write,key28,294.00,201,false,698,0.00
w3r3,write,key28,301.00,201,false,699,0.00
w3r3,write,key28,301.00,201,false,700,0.00
w3r3,write,key28,301.00,201,false,701,0.00
w3r3,write,key28,301.00,201,false,702,0.00
w3r3,write,key28,305.00,201,false,703,0.00
w3r3,write,key28,302.00,201,false,704,0.00
w3r3,write,key83,295.00,201,false,705,0.00
w3r3,write,key83,294.00,201,false,706,0.00
w3r3,write,key7,294.00,201,false,707,0.00
w3r3,write,key7,294.00,201,false,708,0.00
w3r3,write,key7,296.00,201,false,709,0.00
w3r3,write,key7,295.00,201,false,711,0.00
w3r3,write,key7,295.00,201,false,710,0.00
w3r3,write,key7,295.00,201,false,712,0.00
w3r3,write,key7,296.00,201,false,713,0.00
w3r3,write,key7,298.00,201,false,714,0.00
w3r3,write,key75,294.00,201,false,715,0.00
w3r3,write,key75,295.00,201,false,716,0.00
w3r3,write,key67,294.00,201,false,717,0.00
w3r3,write,key67,324.00,201,false,720,0.00
w3r3,write,key67,333.00,201,false,718,0.00
w3r3,write,key67,307.00,201,false,723,0.00
w3r3,write,key67,326.00,201,false,719,0.00
w3r3,write,key67,320.00,201,false,721,0.00
w3r3,write,key67,325.00,201,false,722,0.00
w3r3,write,key67,309.00,201,false,724,0.00
w3r3,write,key84,296.00,201,false,725,0.00
w3r3,write,key84,295.00,201,false,726,0.00
w3r3,read,key73,50.00,200,false,534,-1.00
w3r3,read,key73,51.00,200,false,534,-1.00
w3r3,write,key59,294.00,201,false,727,0.00
w3r3,write,key59,294.00,201,false,728,0.00
w3r3,write,key59,292.00,201,false,730,0.00
w3r3,write,key59,293.00,201,false,729,0.00
w3r3,write,key59,296.00,201,false,731,0.00
w3r3,write,key59,302.00,201,false,733,0.00
w3r3,write,key59,301.00,201,false,732,0.00
w3r3,write,key59,304.00,201,false,734,0.00
