mode,type,key,latency_ms,status,stale,version,rw_interval_ms
w3r3,read,key20,65.00,404,false,0,-1.00
w3r3,read,key20,66.00,404,false,0,-1.00
w3r3,read,key29,68.00,404,false,0,-1.00
w3r3,read,key29,68.00,404,false,0,-1.00
w3r3,read,key29,70.00,404,false,0,-1.00
w3r3,read,key3,51.00,404,false,0,-1.00
w3r3,read,key3,53.00,404,false,0,-1.00
w3r3,read,key37,52.00,404,false,0,-1.00
w3r3,read,key37,52.00,404,false,0,-1.00
w3r3,read,key37,52.00,404,false,0,-1.00
w3r3,read,key36,55.00,404,false,0,-1.00
w3r3,read,key36,55.00,404,false,0,-1.00
w3r3,read,key46,52.00,404,false,0,-1.00
w3r3,read,key46,53.00,404,false,0,-1.00
w3r3,read,key46,52.00,404,false,0,-1.00
w3r3,read,key36,52.00,404,false,0,-1.00
w3r3,read,key36,53.00,404,false,0,-1.00
w3r3,read,key14,53.00,404,false,0,-1.00
w3r3,read,key14,54.00,404,false,0,-1.00
w3r3,read,key14,54.00,404,false,0,-1.00
w3r3,read,key33,56.00,404,false,0,-1.00
w3r3,read,key33,55.00,404,false,0,-1.00
w3r3,read,key13,56.00,404,false,0,-1.00
w3r3,read,key13,55.00,404,false,0,-1.00
w3r3,read,key13,55.00,404,false,0,-1.00
w3r3,read,key8,53.00,404,false,0,-1.00
w3r3,read,key8,53.00,404,false,0,-1.00
w3r3,read,key29,54.00,404,false,0,-1.00
w3r3,read,key29,54.00,404,false,0,-1.00
w3r3,read,key29,54.00,404,false,0,-1.00
w3r3,read,key1,53.00,404,false,0,-1.00
w3r3,read,key1,54.00,404,false,0,-1.00
w3r3,read,key1,54.00,404,false,0,-1.00
w3r3,read,key1,54.00,404,false,0,-1.00
w3r3,read,key1,54.00,404,false,0,-1.00
w3r3,read,key39,52.00,404,false,0,-1.00
w3r3,read,key39,52.00,404,false,0,-1.00
w3r3,read,key22,55.00,404,false,0,-1.00
w3r3,read,key22,55.00,404,false,0,-1.00
w3r3,read,key22,55.00,404,false,0,-1.00
w3r3,read,key9,52.00,404,false,0,-1.00
w3r3,read,key9,51.00,404,false,0,-1.00
w3r3,read,key17,53.00,404,false,0,-1.00
w3r3,read,key17,53.00,404,false,0,-1.00
w3r3,read,key17,53.00,404,false,0,-1.00
w3r3,read,key48,52.00,404,false,0,-1.00
w3r3,read,key48,52.00,404,false,0,-1.00
w3r3,read,key29,51.00,404,false,0,-1.00
w3r3,read,key29,51.00,404,false,0,-1.00
w3r3,read,key34,52.00,404,false,0,-1.00
w3r3,read,key34,52.00,404,false,0,-1.00
w3r3,read,key27,53.00,404,false,0,-1.00
w3r3,read,key27,53.00,404,false,0,-1.00
w3r3,read,key29,52.00,404,false,0,-1.00
w3r3,read,key29,52.00,404,false,0,-1.00
w3r3,write,key27,298.00,201,false,2,0.00
w3r3,write,key27,297.00,201,false,3,0.00
w3r3,write,key27,298.00,201,false,1,0.00
w3r3,read,key11,52.00,404,false,0,-1.00
w3r3,read,key11,52.00,404,false,0,-1.00
w3r3,read,key45,51.00,404,false,0,-1.00
w3r3,read,key45,51.00,404,false,0,-1.00
w3r3,read,key45,52.00,404,false,0,-1.00
w3r3,read,key0,52.00,404,false,0,-1.00
w3r3,read,key0,52.00,404,false,0,-1.00
w3r3,read,key8,52.00,404,false,0,-1.00
w3r3,read,key8,52.00,404,false,0,-1.00
w3r3,read,key8,52.00,404,false,0,-1.00
w3r3,write,key45,294.00,201,false,4,0.00
w3r3,write,key45,294.00,201,false,5,0.00
w3r3,write,key5,297.00,201,false,8,0.00
w3r3,write,key5,297.00,201,false,7,0.00
w3r3,write,key5,297.00,201,false,6,0.00
w3r3,read,key21,52.00,404,false,0,-1.00
w3r3,read,key21,52.00,404,false,0,-1.00
w3r3,read,key33,52.00,404,false,0,-1.00
w3r3,read,key33,52.00,404,false,0,-1.00
w3r3,read,key33,52.00,404,false,0,-1.00
w3r3,read,key13,52.00,404,false,0,-1.00
w3r3,read,key13,51.00,404,false,0,-1.00
w3r3,read,key13,52.00,404,false,0,-1.00
w3r3,read,key23,52.00,404,false,0,-1.00
w3r3,read,key23,53.00,404,false,0,-1.00
w3r3,read,key23,52.00,404,false,0,-1.00
w3r3,read,key0,53.00,404,false,0,-1.00
w3r3,read,key0,53.00,404,false,0,-1.00
w3r3,read,key0,54.00,404,false,0,-1.00
w3r3,read,key30,52.00,404,false,0,-1.00
w3r3,read,key30,51.00,404,false,0,-1.00
w3r3,read,key30,52.00,404,false,0,-1.00
w3r3,write,key44,294.00,201,false,9,0.00
w3r3,write,key44,294.00,201,false,10,0.00
w3r3,read,key39,52.00,404,false,0,-1.00
w3r3,read,key39,52.00,404,false,0,-1.00
w3r3,read,key39,52.00,404,false,0,-1.00
w3r3,read,key11,51.00,404,false,0,-1.00
w3r3,read,key11,51.00,404,false,0,-1.00
w3r3,read,key46,52.00,404,false,0,-1.00
w3r3,read,key46,52.00,404,false,0,-1.00
w3r3,read,key46,52.00,404,false,0,-1.00
w3r3,read,key6,52.00,404,false,0,-1.00
w3r3,read,key6,52.00,404,false,0,-1.00
w3r3,read,key16,50.00,404,false,0,-1.00
w3r3,read,key16,51.00,404,false,0,-1.00
w3r3,read,key16,51.00,404,false,0,-1.00
w3r3,read,key45,52.00,200,false,5,503.00
w3r3,read,key45,52.00,200,false,5,503.00
w3r3,read,key22,53.00,404,false,0,-1.00
w3r3,read,key22,51.00,404,false,0,-1.00
w3r3,read,key22,51.00,404,false,0,-1.00
w3r3,read,key11,50.00,404,false,0,-1.00
w3r3,read,key11,50.00,404,false,0,-1.00
w3r3,read,key15,52.00,404,false,0,-1.00
w3r3,read,key15,52.00,404,false,0,-1.00
w3r3,read,key15,52.00,404,false,0,-1.00
w3r3,read,key28,52.00,404,false,0,-1.00
w3r3,read,key28,52.00,404,false,0,-1.00
w3r3,read,key46,52.00,404,false,0,-1.00
w3r3,read,key46,52.00,404,false,0,-1.00
w3r3,read,key46,52.00,404,false,0,-1.00
w3r3,read,key43,51.00,404,false,0,-1.00
w3r3,read,key43,51.00,404,false,0,-1.00
w3r3,read,key29,51.00,404,false,0,-1.00
w3r3,read,key29,52.00,404,false,0,-1.00
w3r3,read,key29,52.00,404,false,0,-1.00
w3r3,read,key12,51.00,404,false,0,-1.00
w3r3,read,key12,51.00,404,false,0,-1.00
w3r3,read,key44,50.00,200,false,10,376.00
w3r3,read,key44,49.00,200,false,10,377.00
w3r3,read,key44,52.00,200,false,10,380.00
w3r3,read,key33,51.00,404,false,0,-1.00
w3r3,read,key33,51.00,404,false,0,-1.00
w3r3,read,key6,52.00,404,false,0,-1.00
w3r3,read,key6,52.00,404,false,0,-1.00
w3r3,read,key6,52.00,404,false,0,-1.00
w3r3,read,key37,52.00,404,false,0,-1.00
w3r3,read,key37,52.00,404,false,0,-1.00
w3r3,read,key13,52.00,404,false,0,-1.00
w3r3,read,key13,52.00,404,false,0,-1.00
w3r3,read,key13,51.00,404,false,0,-1.00
w3r3,read,key10,53.00,404,false,0,-1.00
w3r3,read,key10,53.00,404,false,0,-1.00
w3r3,read,key2,51.00,404,false,0,-1.00
w3r3,read,key2,51.00,404,false,0,-1.00
w3r3,read,key2,52.00,404,false,0,-1.00
w3r3,read,key38,53.00,404,false,0,-1.00
w3r3,read,key38,53.00,404,false,0,-1.00
w3r3,read,key27,50.00,200,false,3,1288.00
w3r3,read,key27,50.00,200,false,3,1288.00
w3r3,read,key27,51.00,200,false,3,1293.00
w3r3,read,key10,52.00,404,false,0,-1.00
